number,value,datetime_start,datetime_complete,duration,params_gat_heads,params_gat_hidden_0,params_gat_hidden_1,params_gat_hidden_2,params_gat_layers,params_gat_out,params_kan_arity_0_0,params_kan_arity_0_1,params_kan_arity_0_2,params_kan_arity_0_3,params_kan_arity_0_4,params_kan_arity_0_5,params_kan_arity_0_6,params_kan_arity_0_7,params_kan_arity_0_8,params_kan_arity_0_9,params_kan_arity_1_0,params_kan_arity_1_1,params_kan_arity_1_2,params_kan_arity_1_3,params_kan_arity_1_4,params_kan_arity_1_5,params_kan_arity_1_6,params_kan_arity_1_7,params_kan_arity_1_8,params_kan_arity_1_9,params_kan_arity_2_0,params_kan_arity_2_1,params_kan_arity_2_2,params_kan_arity_2_3,params_kan_arity_2_4,params_kan_arity_2_5,params_kan_arity_2_6,params_kan_arity_2_7,params_kan_arity_2_8,params_kan_arity_2_9,params_kan_arity_3_0,params_kan_arity_3_1,params_kan_arity_3_2,params_kan_arity_3_3,params_kan_arity_3_4,params_kan_arity_3_5,params_kan_arity_3_6,params_kan_arity_3_7,params_kan_arity_3_8,params_kan_arity_3_9,params_kan_grid,params_kan_k,params_kan_layer_type_0,params_kan_layer_type_1,params_kan_layer_type_2,params_kan_layer_type_3,params_kan_mult_nodes_0,params_kan_mult_nodes_1,params_kan_mult_nodes_2,params_kan_mult_nodes_3,params_kan_n_layers,params_kan_neurons_0,params_kan_neurons_1,params_kan_neurons_2,params_kan_neurons_3,params_lr,state
70,4976.94043,44:10.9,44:43.4,0 days 00:00:32.576776,2,8,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,normal,,,,,,,,1,1,,,,0.000513351,COMPLETE
71,482.7716064,44:43.4,45:24.0,0 days 00:00:40.599544,4,64,8,,2,3,,,,,,,,,,,,,,,,,,,,,10,6,5,10,3,2,6,7,7,,8,5,8,8,,,,,,,8,3,normal,normal,mixed,mixed,,,9,4,4,5,8,6,4,0.001243479,COMPLETE
72,,45:24.1,46:05.1,0 days 00:00:41.055942,3,64,8,,2,4,,,,,,,,,,,,,,,,,,,,,3,6,6,2,,,,,,,8,2,5,2,,,,,,,7,7,normal,normal,mixed,mixed,,,4,4,4,8,3,8,3,0.001568528,FAIL
73,,46:05.1,46:42.0,0 days 00:00:36.846489,4,8,8,96,3,4,,,,,,,,,,,9,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,normal,mixed,,,,3,,,2,2,7,,,0.006011041,FAIL
74,4594.54834,46:42.0,47:21.9,0 days 00:00:39.982539,4,32,8,64,3,3,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,6,7,normal,normal,mixed,normal,,,1,,4,10,10,2,6,0.000193961,COMPLETE
75,216.0838776,47:21.9,47:57.4,0 days 00:00:35.405311,2,32,32,16,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,normal,normal,,,,,,,2,5,9,,,0.008697651,COMPLETE
76,,47:57.4,48:43.8,0 days 00:00:46.495862,4,128,64,,2,2,,,,,,,,,,,5,3,10,8,5,3,7,10,8,5,5,3,9,10,5,5,,,,,2,10,5,4,3,5,8,3,10,,3,7,normal,mixed,mixed,mixed,,10,6,9,4,5,5,1,10,0.000100565,FAIL
77,4626.949707,48:43.9,49:22.7,0 days 00:00:38.839005,3,16,16,,2,4,,,,,,,,,,,,,,,,,,,,,7,3,6,4,6,8,2,10,4,5,,,,,,,,,,,7,3,normal,normal,mixed,normal,,,10,,4,4,1,10,2,0.00154877,COMPLETE
78,,49:22.7,50:01.4,0 days 00:00:38.699261,3,96,32,128,3,2,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,mixed,normal,normal,,3,,,,3,5,8,6,,0.000364755,FAIL
79,,50:01.4,50:41.3,0 days 00:00:39.866087,1,16,8,128,3,4,3,8,9,2,2,,,,,,8,,,,,,,,,,10,,,,,,,,,,8,10,,,,,,,,,7,3,mixed,mixed,mixed,mixed,5,1,1,2,4,7,1,5,10,0.001508996,FAIL
80,,50:41.3,51:18.5,0 days 00:00:37.199610,1,64,8,,2,4,7,8,9,2,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,mixed,,,,6,,,,1,7,,,,0.003812986,FAIL
81,,51:18.5,51:57.3,0 days 00:00:38.810297,4,8,128,,2,4,4,6,10,8,2,5,8,8,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,mixed,,,,10,,,,1,6,,,,0.002660515,FAIL
82,2562.394043,51:57.3,52:34.0,0 days 00:00:36.688804,1,128,96,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,normal,normal,normal,,,,,,3,7,5,3,,0.000441484,COMPLETE
83,,52:34.0,53:16.2,0 days 00:00:42.240544,2,32,,,1,4,,,,,,,,,,,4,3,,,,,,,,,8,8,2,3,4,5,3,,,,,,,,,,,,,,8,8,normal,mixed,mixed,normal,,2,7,,4,5,1,8,6,0.00886379,FAIL
84,,53:16.2,54:00.5,0 days 00:00:44.243900,4,32,32,,2,2,4,,,,,,,,,,2,10,2,7,7,8,9,10,,,5,6,5,3,4,7,3,2,3,5,,,,,,,,,,,6,6,mixed,mixed,mixed,normal,1,8,10,,4,4,1,10,9,0.007829394,FAIL
85,,54:00.5,54:43.4,0 days 00:00:42.885173,3,16,8,8,3,3,8,2,3,7,6,5,6,5,8,,4,9,2,7,9,2,9,7,3,7,,,,,,,,,,,,,,,,,,,,,6,6,mixed,mixed,,,9,10,,,2,3,5,,,0.000348332,FAIL
86,,54:43.4,55:28.4,0 days 00:00:45.078397,3,96,16,16,3,3,3,10,9,,,,,,,,8,3,,,,,,,,,8,9,9,7,8,,,,,,4,5,9,10,5,,,,,,8,7,mixed,mixed,mixed,mixed,3,2,5,5,4,10,9,9,1,0.001813525,FAIL
87,,55:28.4,56:12.5,0 days 00:00:44.058186,4,128,8,,2,2,10,5,4,3,9,6,4,10,6,,6,4,4,10,2,7,3,3,5,,,,,,,,,,,,,,,,,,,,,,7,7,mixed,mixed,normal,,9,9,,,3,3,10,10,,0.0006345,FAIL
88,,56:12.5,56:54.4,0 days 00:00:41.860970,1,96,,,1,2,2,,,,,,,,,,4,3,2,3,2,2,4,3,,,,,,,,,,,,,6,5,,,,,,,,,5,8,mixed,mixed,normal,mixed,1,8,,2,4,6,7,9,6,0.000139168,FAIL
89,,56:54.4,57:38.4,0 days 00:00:44.020206,4,32,8,,2,3,9,6,10,10,,,,,,,8,10,4,4,10,4,8,2,2,6,2,7,8,7,3,,,,,,,,,,,,,,,,7,7,mixed,mixed,mixed,,4,10,5,,3,2,7,8,,0.000239832,FAIL
90,,57:38.4,58:14.1,0 days 00:00:35.752072,3,8,,,1,2,4,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,mixed,normal,,,3,,,,2,6,1,,,0.000124056,FAIL
91,,58:14.1,58:53.3,0 days 00:00:39.147899,2,128,8,,2,4,,,,,,,,,,,3,7,9,8,10,4,5,6,3,,,,,,,,,,,,,,,,,,,,,,7,6,normal,mixed,,,,9,,,2,8,9,,,0.0002374,FAIL
92,4906.474609,58:53.3,59:31.2,0 days 00:00:37.935580,4,16,128,,2,5,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,5,6,3,,,,,,,,3,4,normal,normal,mixed,mixed,,,2,3,4,9,8,3,9,0.000113291,COMPLETE
93,522.2373657,59:31.2,00:08.2,0 days 00:00:37.019545,2,128,,,1,3,5,5,4,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,mixed,normal,normal,normal,5,,,,4,5,6,6,5,0.00706531,COMPLETE
94,1990.95166,00:08.3,00:47.5,0 days 00:00:39.201165,2,128,,,1,5,,,,,,,,,,,6,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,normal,mixed,normal,,,4,,,3,9,1,2,,0.000130151,COMPLETE
95,,00:47.5,01:27.2,0 days 00:00:39.728612,2,16,,,1,3,10,6,9,,,,,,,,4,4,8,5,8,10,4,9,9,,,,,,,,,,,,,,,,,,,,,,6,3,mixed,mixed,normal,,3,9,,,3,5,3,6,,0.000187837,FAIL
96,313.4208984,01:27.2,02:02.9,0 days 00:00:35.674240,3,64,16,32,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,normal,,,,,,,,1,7,,,,0.005627514,COMPLETE
97,227.6394043,02:02.9,02:41.4,0 days 00:00:38.551258,1,32,,,1,3,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,4,8,normal,normal,mixed,,,,1,,3,8,9,7,,0.007781823,COMPLETE
98,240.074295,02:41.4,03:18.1,0 days 00:00:36.672971,2,128,128,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,normal,normal,normal,,,,,4,9,8,8,8,0.002905479,COMPLETE
99,,03:18.1,04:02.3,0 days 00:00:44.176292,4,128,,,1,5,9,8,5,10,5,,,,,,4,7,10,3,9,10,6,,,,2,4,6,4,2,4,7,9,3,5,,,,,,,,,,,3,5,mixed,mixed,mixed,,5,7,10,,3,10,8,6,,0.003135492,FAIL
100,,04:02.3,04:37.7,0 days 00:00:35.465289,3,128,64,,2,3,8,6,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,mixed,mixed,,,2,1,,,2,3,3,,,0.001152949,FAIL
101,,04:37.7,05:19.1,0 days 00:00:41.331050,1,96,16,,2,4,4,6,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,8,9,4,10,,,,,,,5,6,mixed,mixed,normal,mixed,2,1,,4,4,3,4,8,1,0.009914339,FAIL
102,4858.446777,05:19.1,05:59.2,0 days 00:00:40.102511,2,128,64,64,3,2,,,,,,,,,,,10,6,6,5,3,7,8,7,,,,,,,,,,,,,,,,,,,,,,,7,5,normal,mixed,normal,,,8,,,3,2,10,6,,0.000123645,COMPLETE
103,217.2093658,05:59.2,06:36.9,0 days 00:00:37.752331,4,96,,,1,5,,,,,,,,,,,9,3,6,4,5,6,3,10,,,,,,,,,,,,,,,,,,,,,,,7,5,normal,mixed,,,,8,,,2,10,2,,,0.002078758,COMPLETE
104,,06:36.9,07:15.7,0 days 00:00:38.791706,1,16,16,,2,2,9,9,8,,,,,,,,,,,,,,,,,,7,9,,,,,,,,,,,,,,,,,,,5,5,mixed,normal,mixed,,3,,2,,3,6,9,1,,0.000304802,FAIL
105,,07:15.7,07:57.5,0 days 00:00:41.750841,1,32,16,96,3,5,,,,,,,,,,,2,8,7,5,4,,,,,,4,4,10,8,2,,,,,,,,,,,,,,,,5,7,normal,mixed,mixed,,,5,5,,3,3,10,3,,0.003382236,FAIL
106,1159.897705,07:57.5,08:41.5,0 days 00:00:43.980513,2,64,128,32,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,3,8,10,8,7,6,8,,8,7,normal,normal,normal,mixed,,,,9,4,4,4,8,10,0.000170261,COMPLETE
107,,08:41.5,09:21.0,0 days 00:00:39.559775,2,96,,,1,5,5,10,4,9,2,2,,,,,5,3,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,mixed,mixed,,,6,4,,,2,5,5,,,0.000196734,FAIL
108,581.803894,09:21.0,09:58.1,0 days 00:00:37.022564,1,16,,,1,3,,,,,,,,,,,,,,,,,,,,,7,6,4,2,,,,,,,,,,,,,,,,,3,5,normal,normal,mixed,,,,4,,3,1,6,7,,0.001451014,COMPLETE
109,1615.316406,09:58.1,10:31.6,0 days 00:00:33.507547,2,32,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,normal,normal,,,,,,,2,1,10,,,0.005240735,COMPLETE
110,,10:31.6,11:11.8,0 days 00:00:40.181418,4,128,64,,2,4,,,,,,,,,,,2,2,4,9,9,,,,,,10,4,6,2,4,2,4,7,,,,,,,,,,,,,8,3,normal,mixed,mixed,normal,,5,8,,4,9,9,7,1,0.001707087,FAIL
111,4956.339844,11:11.8,11:49.3,0 days 00:00:37.529041,1,128,128,,2,5,10,3,4,9,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,mixed,normal,normal,,6,,,,3,6,7,2,,0.000144687,COMPLETE
112,,11:49.3,12:30.6,0 days 00:00:41.293280,3,64,,,1,2,10,9,3,5,8,9,8,2,,,2,6,5,10,6,2,10,2,,,,,,,,,,,,,,,,,,,,,,,5,6,mixed,mixed,,,8,8,,,2,9,10,,,0.004518516,FAIL
113,532.6508789,12:30.6,13:08.2,0 days 00:00:37.662536,3,64,64,,2,5,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,5,6,normal,normal,mixed,,,,1,,3,5,1,3,,0.000993193,COMPLETE
114,53031.44922,13:08.2,13:45.6,0 days 00:00:37.322719,4,16,,,1,2,10,8,3,6,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,mixed,normal,,,6,,,,2,8,6,,,0.000191816,COMPLETE
115,,13:45.6,14:30.8,0 days 00:00:45.235857,3,64,16,64,3,4,10,8,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,3,10,,,,,,,3,8,mixed,normal,normal,mixed,4,,,4,4,3,5,9,7,0.000108518,FAIL
116,,14:30.8,15:10.7,0 days 00:00:39.875286,1,8,,,1,4,6,7,7,7,5,5,5,5,,,,,,,,,,,,,8,4,,,,,,,,,2,,,,,,,,,,8,3,mixed,normal,mixed,mixed,8,,2,1,4,7,8,3,10,0.000136942,FAIL
117,4221.612305,15:10.7,15:44.8,0 days 00:00:34.130393,1,32,128,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,normal,,,,,,,,1,10,,,,0.000108547,COMPLETE
118,,15:44.8,16:27.8,0 days 00:00:43.024357,4,32,,,1,4,9,2,9,,,,,,,,6,10,,,,,,,,,,,,,,,,,,,4,2,5,2,4,8,2,,,,4,6,mixed,mixed,normal,mixed,3,2,,7,4,7,3,1,3,0.007115381,FAIL
119,3190.005127,16:27.9,17:02.5,0 days 00:00:34.665310,2,128,128,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,normal,,,,,,,,1,3,,,,0.000340046,COMPLETE
120,,17:02.5,17:45.6,0 days 00:00:43.106819,2,32,32,,2,4,,,,,,,,,,,6,7,3,5,2,,,,,,5,2,7,6,2,7,10,9,4,2,,,,,,,,,,,6,6,normal,mixed,mixed,,,5,10,,3,3,7,9,,0.003319983,FAIL
121,326.7610474,17:45.6,18:21.0,0 days 00:00:35.327764,3,32,,,1,4,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,normal,mixed,,,,1,,,2,7,5,,,0.00810463,COMPLETE
122,1914.106079,18:21.0,18:59.3,0 days 00:00:38.344511,2,32,8,128,3,4,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,7,5,normal,normal,mixed,,,,2,,3,8,9,10,,0.000522914,COMPLETE
123,,18:59.3,19:48.6,0 days 00:00:49.304348,3,64,8,16,3,5,2,3,7,10,10,2,2,7,,,8,5,6,5,4,7,9,3,,,2,,,,,,,,,,8,10,10,9,7,3,4,8,7,,5,7,mixed,mixed,mixed,mixed,8,8,1,9,4,4,1,9,9,0.008598163,FAIL
124,4928.44043,19:48.6,20:34.1,0 days 00:00:45.519735,4,128,96,,2,3,,,,,,,,,,,3,,,,,,,,,,10,10,10,3,10,3,10,7,,,,,,,,,,,,,5,8,normal,mixed,mixed,normal,,1,8,,4,5,4,6,2,0.000167718,COMPLETE
125,295841.25,20:34.1,21:12.0,0 days 00:00:37.910832,2,96,64,96,3,5,6,4,6,2,5,8,8,4,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,mixed,,,,10,,,,1,1,,,,0.001728505,COMPLETE
126,4976.94043,21:12.1,21:48.9,0 days 00:00:36.862402,3,32,16,,2,2,10,10,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,mixed,normal,,,4,,,,2,2,4,,,0.005564106,COMPLETE
127,617.2139893,21:48.9,22:22.1,0 days 00:00:33.154215,4,16,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,normal,,,,,,,,1,5,,,,0.001812264,COMPLETE
128,,22:22.1,23:01.3,0 days 00:00:39.262111,1,128,,,1,4,10,4,10,5,5,,,,,,5,,,,,,,,,,9,2,,,,,,,,,,,,,,,,,,,3,3,mixed,mixed,mixed,normal,5,1,2,,4,9,2,4,1,0.002232908,FAIL
129,6.74E+17,23:01.3,23:38.0,0 days 00:00:36.664147,1,128,8,,2,2,6,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,mixed,normal,,,3,,,,2,5,9,,,0.000184316,COMPLETE
130,5.31E+18,23:38.0,24:14.7,0 days 00:00:36.717583,3,32,128,,2,2,,,,,,,,,,,4,,,,,,,,,,3,4,5,,,,,,,,,,,,,,,,,,6,3,normal,mixed,mixed,,,1,3,,3,6,7,9,,0.002025461,COMPLETE
131,342.2804565,24:14.7,24:52.2,0 days 00:00:37.512814,2,96,128,32,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,normal,normal,,,,,,,2,2,7,,,0.009258202,COMPLETE
132,,24:52.2,25:34.0,0 days 00:00:41.805485,1,32,16,128,3,3,10,3,7,4,6,8,5,2,8,,9,2,6,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,8,5,mixed,mixed,,,9,6,,,2,5,1,,,0.007040535,FAIL
133,,25:34.1,26:11.5,0 days 00:00:37.498867,4,8,,,1,4,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,4,8,5,3,,,,,,,8,3,normal,mixed,normal,mixed,,1,,4,4,5,2,3,3,0.000119744,FAIL
134,494.0976868,26:11.6,26:53.3,0 days 00:00:41.759849,4,64,64,32,3,4,,,,,,,,,,,6,2,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,6,8,normal,mixed,normal,,,6,,,3,4,4,9,,0.00500929,COMPLETE
135,,26:53.3,27:38.1,0 days 00:00:44.767961,2,8,8,,2,3,5,6,10,6,9,9,6,10,3,,,,,,,,,,,,2,9,5,,,,,,,,,,,,,,,,,,8,8,mixed,normal,mixed,normal,9,,3,,4,8,2,1,6,0.002043416,FAIL
136,,27:38.1,28:22.0,0 days 00:00:43.913318,2,8,64,128,3,3,,,,,,,,,,,7,3,7,9,10,,,,,,5,7,5,,,,,,,,,,,,,,,,,,6,8,normal,mixed,mixed,,,5,3,,3,6,2,7,,0.002226722,FAIL
137,2240.650391,28:22.0,29:00.1,0 days 00:00:38.098233,4,16,32,,2,2,2,3,3,9,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,mixed,normal,,,6,,,,2,5,7,,,0.000196885,COMPLETE
138,363.7784119,29:00.1,29:37.5,0 days 00:00:37.413884,4,128,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,normal,normal,,,,,,,2,7,8,,,0.008633236,COMPLETE
139,,29:37.5,30:19.6,0 days 00:00:42.085565,3,8,16,,2,5,,,,,,,,,,,2,7,8,9,,,,,,,3,3,3,2,2,9,2,,,,,,,,,,,,,,5,5,normal,mixed,mixed,normal,,4,7,,4,8,7,10,2,0.001422764,FAIL
140,4893.129883,30:19.6,31:00.3,0 days 00:00:40.670756,2,128,,,1,3,,,,,,,,,,,,,,,,,,,,,3,4,4,7,2,4,9,3,6,10,,,,,,,,,,,7,6,normal,normal,mixed,,,,10,,3,3,3,1,,0.000302495,COMPLETE
141,1045.110596,31:00.3,31:35.3,0 days 00:00:34.979778,3,8,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,normal,,,,,,,,1,1,,,,0.001293906,COMPLETE
142,,31:35.3,32:16.5,0 days 00:00:41.240799,2,16,32,128,3,3,,,,,,,,,,,8,2,8,7,,,,,,,4,2,3,9,2,4,4,9,,,,,,,,,,,,,3,3,normal,mixed,mixed,normal,,4,8,,4,6,8,9,5,0.000300092,FAIL
143,,32:16.5,33:02.1,0 days 00:00:45.590449,1,96,16,64,3,5,7,5,7,9,5,5,2,10,2,5,,,,,,,,,,,,,,,,,,,,,9,9,4,10,2,6,,,,,7,7,mixed,normal,normal,mixed,10,,,6,4,9,1,6,9,0.000978753,FAIL
144,4949.643555,33:02.1,33:46.0,0 days 00:00:43.865586,4,32,64,32,3,3,,,,,,,,,,,5,3,9,8,3,3,,,,,,,,,,,,,,,9,9,4,7,,,,,,,6,6,normal,mixed,normal,mixed,,6,,4,4,1,9,1,6,0.000107434,COMPLETE
145,,33:46.0,34:28.8,0 days 00:00:42.816507,1,16,16,16,3,4,7,3,9,4,5,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,,,,,,,4,8,mixed,normal,mixed,,5,,2,,3,8,5,5,,0.00031485,FAIL
146,1574.734497,34:28.8,35:03.2,0 days 00:00:34.433827,4,96,,,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,mixed,,,,1,,,,1,4,,,,0.000488812,COMPLETE
147,,35:03.2,35:41.8,0 days 00:00:38.566936,1,16,,,1,5,7,5,4,6,7,3,5,,,,10,9,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,mixed,mixed,,,7,4,,,2,9,3,,,0.000136557,FAIL
148,,35:41.8,36:26.1,0 days 00:00:44.318368,4,16,96,,2,3,5,2,8,4,2,4,2,,,,,,,,,,,,,,6,9,9,6,2,7,2,5,4,,7,5,10,8,,,,,,,4,4,mixed,normal,mixed,mixed,7,,9,4,4,4,9,10,5,0.002564185,FAIL
149,,36:26.1,37:06.0,0 days 00:00:39.925993,3,128,16,16,3,2,4,2,5,9,7,5,5,,,,4,5,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,mixed,mixed,,,7,5,,,2,5,5,,,0.000935081,FAIL
150,,37:06.0,37:45.3,0 days 00:00:39.285577,4,16,16,,2,4,10,8,3,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,mixed,normal,,,5,,,,2,4,10,,,0.000133847,FAIL
151,1126.352905,37:45.3,38:21.6,0 days 00:00:36.255830,2,64,64,8,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,normal,,,,,,,,1,9,,,,0.000626199,COMPLETE
152,529.3503418,38:21.6,39:05.1,0 days 00:00:43.470845,3,64,,,1,2,,,,,,,,,,,8,9,,,,,,,,,8,2,6,,,,,,,,10,,,,,,,,,,4,8,normal,mixed,mixed,mixed,,2,3,1,4,1,10,2,4,0.003389723,COMPLETE
153,237.4688263,39:05.1,39:40.5,0 days 00:00:35.458843,4,96,64,16,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,,,,1,,,,1,7,,,,0.003612934,COMPLETE
154,1975.199097,39:40.5,40:19.2,0 days 00:00:38.647778,1,8,96,,2,3,,,,,,,,,,,,,,,,,,,,,5,7,,,,,,,,,,,,,,,,,,,6,6,normal,normal,mixed,,,,2,,3,7,5,9,,0.00023936,COMPLETE
155,,40:19.2,41:02.5,0 days 00:00:43.349669,2,64,64,,2,4,,,,,,,,,,,6,3,9,9,6,3,2,9,,,,,,,,,,,,,,,,,,,,,,,6,7,normal,mixed,normal,normal,,8,,,4,6,8,5,7,0.006047533,FAIL
156,2868.148193,41:02.5,41:44.6,0 days 00:00:42.055097,3,128,128,,2,5,5,,,,,,,,,,,,,,,,,,,,2,3,9,6,3,5,9,3,3,2,,,,,,,,,,,6,5,mixed,normal,mixed,normal,1,,10,,4,10,1,5,2,0.006364555,COMPLETE
157,2939.026855,41:44.6,42:23.1,0 days 00:00:38.502871,2,96,16,32,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,normal,normal,,,,,,,2,9,5,,,0.000129009,COMPLETE
158,4976.94043,42:23.1,42:59.9,0 days 00:00:36.842793,1,32,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,normal,normal,,,,,,,2,1,1,,,0.005447038,COMPLETE
159,,42:59.9,43:40.3,0 days 00:00:40.346109,3,16,,,1,2,10,8,5,3,8,10,3,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,mixed,normal,,,9,,,,2,3,5,,,0.004266983,FAIL
160,,43:40.3,44:21.0,0 days 00:00:40.700301,1,64,,,1,4,4,10,10,10,7,9,,,,,10,5,3,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,mixed,mixed,normal,,6,5,,,3,9,8,10,,0.000545553,FAIL
161,257.3079224,44:21.0,45:06.1,0 days 00:00:45.074386,2,16,32,8,3,2,,,,,,,,,,,,,,,,,,,,,8,9,5,5,6,3,2,9,,,,,,,,,,,,,8,8,normal,normal,mixed,normal,,,8,,4,7,2,2,10,0.003098226,COMPLETE
162,,45:06.1,45:51.9,0 days 00:00:45.812945,1,64,96,,2,2,,,,,,,,,,,9,8,3,3,7,2,4,,,,10,7,9,3,7,4,2,5,8,,,,,,,,,,,,6,8,normal,mixed,mixed,normal,,7,9,,4,1,1,3,10,0.00041757,FAIL
163,4144.838379,45:51.9,46:30.6,0 days 00:00:38.716830,4,16,128,64,3,2,5,7,8,3,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,mixed,normal,,,6,,,,2,2,2,,,0.000253961,COMPLETE
164,2735.855713,46:30.6,47:05.8,0 days 00:00:35.202737,1,8,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,normal,,,,,,,,1,4,,,,0.000447862,COMPLETE
165,405.7722473,47:05.8,47:41.8,0 days 00:00:35.940195,2,64,96,96,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,mixed,,,,1,,,,1,8,,,,0.003565654,COMPLETE
166,4976.94043,47:41.8,48:19.9,0 days 00:00:38.135059,3,32,96,,2,2,7,6,7,7,5,4,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,mixed,normal,,,9,,,,2,4,2,,,0.000798147,COMPLETE
167,4937.116211,48:19.9,48:59.6,0 days 00:00:39.716529,3,128,64,,2,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,8,8,normal,normal,mixed,,,,1,,3,3,2,4,,0.000144763,COMPLETE
168,271.8780518,48:59.6,49:34.8,0 days 00:00:35.227820,2,128,8,64,3,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,mixed,,,,1,,,,1,2,,,,0.008380324,COMPLETE
169,,49:34.8,50:21.2,0 days 00:00:46.384521,4,128,8,128,3,3,4,7,9,10,5,2,,,,,7,2,5,7,10,7,2,4,,,6,10,3,,,,,,,,,,,,,,,,,,4,7,mixed,mixed,mixed,,6,8,3,,3,2,5,7,,0.009529147,FAIL
170,285.443634,50:21.2,51:01.6,0 days 00:00:40.361528,1,96,8,,2,4,,,,,,,,,,,,,,,,,,,,,5,2,4,9,2,10,8,2,10,,,,,,,,,,,,4,5,normal,normal,mixed,,,,9,,3,8,9,3,,0.000636499,COMPLETE
